Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temperature
978,-370,16790,44,26,-1,243
980,-352,16768,46,36,3,243
984,-376,16772,51,34,-15,243
978,-362,16792,46,29,-50,243
974,-338,16808,35,34,-42,243
996,-350,16814,50,23,-21,243
984,-372,16768,62,16,13,243
990,-364,16790,62,35,26,243
994,-358,16784,60,30,17,243
984,-378,16794,67,28,33,243
990,-364,16784,51,17,20,243
982,-378,16778,53,25,23,243
962,-366,16814,52,30,22,243
990,-360,16782,60,33,17,243
962,-348,16768,59,43,29,243
990,-362,16778,64,38,23,243
972,-350,16798,50,33,14,243
978,-376,16798,59,28,7,243
994,-360,16778,46,25,4,243
996,-352,16794,53,25,-2,243
960,-338,16786,45,29,-6,243
984,-366,16780,46,15,-22,243
1004,-338,16764,43,21,-12,243
992,-344,16792,49,31,5,243
988,-390,16838,60,32,-6,243
994,-348,16806,46,37,-11,243
964,-364,16740,50,28,-9,243
986,-374,16786,44,28,-9,243
1002,-372,16832,61,21,0,243
1006,-360,16802,53,32,7,243
1014,-388,16778,51,31,9,243
980,-380,16784,61,21,14,243
978,-384,16806,57,27,17,243
990,-364,16784,61,29,7,243
984,-344,16752,55,20,7,243
944,-362,16808,54,28,10,243
986,-352,16814,56,36,30,243
972,-374,16792,59,38,25,243
996,-372,16774,60,34,24,243
992,-368,16780,60,30,14,243
970,-344,16808,58,28,12,243
980,-370,16786,63,34,25,243
978,-360,16742,57,18,26,243
988,-360,16794,47,21,19,243
970,-394,16810,62,29,21,243
1000,-374,16792,62,23,20,243
984,-342,16788,55,23,12,243
964,-360,16820,60,30,10,243
976,-364,16828,56,33,21,243
984,-380,16818,70,35,25,243
990,-362,16784,59,28,28,243
978,-350,16786,67,32,24,243
1000,-376,16814,65,24,25,243
992,-366,16774,55,23,32,243
992,-362,16776,57,21,33,243
996,-326,16820,58,25,14,243
984,-382,16806,49,25,14,243
976,-380,16780,58,21,13,243
1000,-362,16756,59,31,10,243
1006,-356,16814,62,19,24,243
984,-368,16824,65,32,23,243
974,-360,16806,58,23,29,243
990,-380,16778,58,32,32,243
968,-358,16778,60,23,30,243
974,-380,16814,64,25,32,243
998,-350,16784,58,24,27,243
992,-360,16802,65,27,28,243
978,-354,16788,60,32,39,243
984,-366,16818,60,32,35,243
1012,-362,16784,69,28,36,243
964,-364,16774,64,37,33,243
986,-380,16806,63,37,31,243
994,-364,16826,64,21,31,243
976,-386,16792,61,30,32,243
944,-358,16756,67,18,35,243
956,-372,16786,67,19,16,243
984,-358,16804,60,19,39,243
986,-350,16786,70,15,32,243
976,-366,16782,56,25,29,243
986,-354,16784,58,31,25,243
986,-374,16804,68,32,29,243
968,-350,16794,56,36,34,243
982,-372,16770,63,35,21,243
988,-356,16800,65,36,29,243
976,-390,16800,59,34,34,243
1000,-362,16800,63,29,32,243
1000,-372,16738,64,21,38,243
992,-350,16800,60,28,26,243
976,-358,16794,65,15,22,243
988,-360,16796,53,23,27,243
1000,-366,16760,53,34,31,243
996,-368,16782,65,32,21,243
992,-362,16806,63,35,24,243
996,-360,16782,56,35,21,243
980,-376,16766,65,28,30,243
992,-332,16800,63,33,31,243
998,-358,16820,62,26,27,243
990,-360,16788,54,30,25,243
962,-364,16774,53,25,25,243
980,-356,16800,63,21,26,243
974,-340,16814,62,32,28,243
968,-378,16794,59,25,30,243
990,-374,16740,57,27,35,243
992,-368,16794,57,31,34,243
970,-384,16802,67,32,35,243
990,-380,16804,62,32,44,243
986,-380,16766,61,28,35,243
962,-350,16806,60,21,24,243
986,-372,16828,53,18,32,243
978,-380,16784,54,21,28,243
992,-386,16770,57,24,28,243
996,-378,16802,61,23,27,243
992,-380,16808,55,22,24,243
984,-356,16792,54,28,41,243
978,-352,16750,69,38,37,243
992,-364,16802,47,32,26,243
1002,-366,16824,64,36,28,243
972,-356,16786,61,31,28,243
978,-386,16778,69,22,30,243
992,-344,16780,60,30,26,243
992,-352,16812,60,27,34,243
988,-386,16800,57,28,31,243
958,-382,16784,71,27,28,243
980,-358,16792,67,30,33,243
1006,-356,16796,64,23,29,243
976,-366,16800,57,40,38,243
992,-368,16778,60,36,39,243
972,-358,16796,62,32,23,243
958,-380,16828,61,20,35,243
974,-350,16792,71,28,26,243
986,-362,16798,57,24,28,243
984,-344,16780,51,25,17,243
982,-352,16828,59,25,21,243
990,-396,16804,64,23,17,243
984,-370,16766,56,32,27,243
958,-394,16784,60,34,25,243
986,-386,16836,63,41,20,243
992,-360,16798,56,39,17,243
986,-330,16800,58,39,20,243
944,-324,16800,43,42,2,243
942,-322,16828,24,53,-55,243
906,-80,16794,-22,85,-97,243
940,-196,16778,-72,74,-35,243
916,-186,16834,-239,142,-182,243
720,304,16734,-379,175,-391,243
898,-444,16792,-790,228,-895,243
970,340,16794,-958,298,-1653,243
616,-616,16702,-1162,356,-962,243
806,944,16572,-961,484,-2012,243
1518,-2912,20172,-297,350,-1955,243
2050,-1212,15912,-375,334,538,243
1064,-112,16540,887,162,1161,243
992,-494,16606,1808,305,1201,243
-32,-1374,17482,1072,414,1517,243
864,-222,16880,321,-39,-2466,243
1186,-26,17006,477,-221,-404,243
770,-728,16826,237,-451,-375,243
1116,-240,16660,260,14,-947,243
984,-164,16706,378,282,158,243
1150,-350,16976,346,494,620,243
842,-422,16930,159,442,79,243
914,24,16934,103,267,486,243
872,-308,16712,44,-18,-144,243
818,64,16766,24,182,-87,243
494,-618,16614,-118,327,-525,243
828,680,16788,186,568,-686,243
884,-1352,16830,-104,214,-717,243
1078,-580,16584,-482,122,-1126,243
1230,-376,16786,-296,35,-522,243
1178,-280,16624,-111,133,75,243
956,-1146,16750,-222,338,46,243
958,-138,16816,-107,288,45,243
828,-536,16854,-168,167,-33,243
1128,-408,16864,-231,47,-325,243
